max(arraySize): 50
subSizeList: [1, 4, 16, 64]
# JMH version: 1.21
# VM version: JDK 1.8.0_192, Java HotSpot(TM) 64-Bit Server VM, 25.192-b12
# VM invoker: /home/bourgesl/apps/jdk1.8.0/jre/bin/java
# VM options: -Xms1g -Xmx1g -XX:-TieredCompilation -XX:+UnlockDiagnosticVMOptions -XX:GuaranteedSafepointInterval=300000
# Warmup: 3 iterations, 100 ms each
# Measurement: 10 iterations, 50 ms each
# Timeout: 10 min per iteration
# Threads: 1 thread, will synchronize iterations
# Benchmark mode: Average time, time/op
# Benchmark: edu.sorting.bench.ArraySortBenchmark.sort
# Parameters: (arraySize = 50, arraySubSize = 1, dataTweaker = IDENT_____, distBuilder = STAGGER, tSorter = BASELINE)

# Run progress: 0.00% complete, ETA 00:19:12
# Fork: 1 of 2
# Warmup Iteration   1: 19.641 ns/op
# Warmup Iteration   2: 21.994 ns/op
# Warmup Iteration   3: 15.023 ns/op
# VM options: -Xms1g -Xmx1g -XX:-TieredCompilation -XX:+UnlockDiagnosticVMOptions -XX:GuaranteedSafepointInterval=300000
# Warmup: 3 iterations, 100 ms each
# Measurement: 10 iterations, 50 ms each
# Timeout: 10 min per iteration
# Threads: 1 thread, will synchronize iterations
# Benchmark mode: Average time, time/op
# Benchmark: edu.sorting.bench.ArraySortBenchmark.sort
# Parameters: (arraySize = 50, arraySubSize = 1, dataTweaker = IDENT_____, distBuilder = STAGGER, tSorter = DPQ_11)

# Run progress: 0.14% complete, ETA 00:41:48
# Fork: 1 of 2
# Warmup Iteration   1: 751.979 ns/op
# Warmup Iteration   2: 398.773 ns/op
# Warmup Iteration   3: 286.043 ns/op
Iteration   1: 288.730 ns/op
Iteration   2: 286.053 ns/op
Iteration   3: 288.632 ns/op
Iteration   4: 288.767 ns/op
Iteration   5: 288.002 ns/op
Iteration   6: 285.775 ns/op
Iteration   7: 287.457 ns/op
Iteration   8: 287.399 ns/op
Iteration   9: 287.361 ns/op
Iteration  10: 286.081 ns/op

# Run progress: 0.21% complete, ETA 00:41:01
# Fork: 2 of 2
# Warmup Iteration   1: 742.605 ns/op
# Warmup Iteration   2: 412.995 ns/op
# Warmup Iteration   3: 289.911 ns/op
Iteration   1: 290.694 ns/op
Iteration   2: 298.619 ns/op
Iteration   3: 290.906 ns/op
Iteration   4: 290.719 ns/op
Iteration   5: 290.822 ns/op
Iteration   6: 290.139 ns/op
Iteration   7: 290.911 ns/op
Iteration   8: 290.907 ns/op
Iteration   9: 300.992 ns/op
Iteration  10: 298.293 ns/op


Result "edu.sorting.bench.ArraySortBenchmark.sort":
  290.363 ±(99.9%) 3.692 ns/op [Average]
  (min, avg, max) = (285.775, 290.363, 300.992), stdev = 4.251
  CI (99.9%): [286.671, 294.055] (assumes normal distribution)


# JMH version: 1.21
# VM version: JDK 1.8.0_192, Java HotSpot(TM) 64-Bit Server VM, 25.192-b12
# VM invoker: /home/bourgesl/apps/jdk1.8.0/jre/bin/java
# VM options: -Xms1g -Xmx1g -XX:-TieredCompilation -XX:+UnlockDiagnosticVMOptions -XX:GuaranteedSafepointInterval=300000
# Warmup: 3 iterations, 100 ms each
# Measurement: 10 iterations, 50 ms each
# Timeout: 10 min per iteration
# Threads: 1 thread, will synchronize iterations
# Benchmark mode: Average time, time/op
# Benchmark: edu.sorting.bench.ArraySortBenchmark.sort
# Parameters: (arraySize = 50, arraySubSize = 1, dataTweaker = IDENT_____, distBuilder = STAGGER, tSorter = DPQ_18_11_21)

# Run progress: 0.28% complete, ETA 00:40:22
# Fork: 1 of 2
# Warmup Iteration   1: 374.760 ns/op
# Warmup Iteration   2: 382.346 ns/op
# Warmup Iteration   3: 263.172 ns/op
Iteration   1: 261.521 ns/op
Iteration   2: 262.790 ns/op
Iteration   3: 261.326 ns/op
Iteration   4: 262.733 ns/op
Iteration   5: 261.475 ns/op
Iteration   6: 263.063 ns/op
Iteration   7: 261.460 ns/op
Iteration   8: 261.502 ns/op
Iteration   9: 261.437 ns/op
Iteration  10: 263.051 ns/op

# Run progress: 0.35% complete, ETA 00:39:58
# Fork: 2 of 2
# Warmup Iteration   1: 356.758 ns/op
# Warmup Iteration   2: 372.056 ns/op
# Warmup Iteration   3: 257.189 ns/op
Iteration   1: 255.967 ns/op
Iteration   2: 257.459 ns/op
Iteration   3: 255.214 ns/op
Iteration   4: 257.090 ns/op
Iteration   5: 254.692 ns/op
Iteration   6: 256.412 ns/op
Iteration   7: 255.757 ns/op
Iteration   8: 255.498 ns/op
Iteration   9: 254.657 ns/op
Iteration  10: 257.280 ns/op


Result "edu.sorting.bench.ArraySortBenchmark.sort":
  259.019 ±(99.9%) 2.794 ns/op [Average]
  (min, avg, max) = (254.657, 259.019, 263.063), stdev = 3.218
  CI (99.9%): [256.225, 261.814] (assumes normal distribution)


# JMH version: 1.21
# VM version: JDK 1.8.0_192, Java HotSpot(TM) 64-Bit Server VM, 25.192-b12
# VM invoker: /home/bourgesl/apps/jdk1.8.0/jre/bin/java
# VM options: -Xms1g -Xmx1g -XX:-TieredCompilation -XX:+UnlockDiagnosticVMOptions -XX:GuaranteedSafepointInterval=300000
# Warmup: 3 iterations, 100 ms each
# Measurement: 10 iterations, 50 ms each
# Timeout: 10 min per iteration
# Threads: 1 thread, will synchronize iterations
# Benchmark mode: Average time, time/op
# Benchmark: edu.sorting.bench.ArraySortBenchmark.sort
# Parameters: (arraySize = 50, arraySubSize = 1, dataTweaker = IDENT_____, distBuilder = STAGGER, tSorter = DPQ_18_11I)

# Run progress: 0.42% complete, ETA 00:39:42
# Fork: 1 of 2
# Warmup Iteration   1: 1984.157 ns/op
# Warmup Iteration   2: 411.923 ns/op
# Warmup Iteration   3: 305.081 ns/op
Iteration   1: 302.198 ns/op
Iteration   2: 304.210 ns/op
Iteration   3: 301.828 ns/op
Iteration   4: 306.743 ns/op
Iteration   5: 302.376 ns/op
Iteration   6: 303.250 ns/op
Iteration   7: 301.814 ns/op
Iteration   8: 301.764 ns/op
Iteration   9: 301.855 ns/op
Iteration  10: 303.208 ns/op

# Run progress: 0.49% complete, ETA 00:39:28
# Fork: 2 of 2
# Warmup Iteration   1: 1363.122 ns/op
# Warmup Iteration   2: 410.326 ns/op
# Warmup Iteration   3: 300.848 ns/op
Iteration   1: 298.887 ns/op
Iteration   2: 300.550 ns/op
Iteration   3: 298.642 ns/op
Iteration   4: 303.553 ns/op
Iteration   5: 298.531 ns/op
Iteration   6: 300.451 ns/op
Iteration   7: 298.791 ns/op
Iteration   8: 298.643 ns/op
Iteration   9: 298.740 ns/op
Iteration  10: 300.453 ns/op


Result "edu.sorting.bench.ArraySortBenchmark.sort":
  301.324 ±(99.9%) 1.953 ns/op [Average]
  (min, avg, max) = (298.531, 301.324, 306.743), stdev = 2.249
  CI (99.9%): [299.372, 303.277] (assumes normal distribution)


# JMH version: 1.21
# VM version: JDK 1.8.0_192, Java HotSpot(TM) 64-Bit Server VM, 25.192-b12
# VM invoker: /home/bourgesl/apps/jdk1.8.0/jre/bin/java
# VM options: -Xms1g -Xmx1g -XX:-TieredCompilation -XX:+UnlockDiagnosticVMOptions -XX:GuaranteedSafepointInterval=300000
# Warmup: 3 iterations, 100 ms each
# Measurement: 10 iterations, 50 ms each
# Timeout: 10 min per iteration
# Threads: 1 thread, will synchronize iterations
# Benchmark mode: Average time, time/op
# Benchmark: edu.sorting.bench.ArraySortBenchmark.sort
# Parameters: (arraySize = 50, arraySubSize = 1, dataTweaker = IDENT_____, distBuilder = STAGGER, tSorter = DPQ_18_11P)

# Run progress: 0.56% complete, ETA 00:39:19
# Fork: 1 of 2
# Warmup Iteration   1: 335.676 ns/op
# Warmup Iteration   2: 281.619 ns/op
# Warmup Iteration   3: 191.683 ns/op
Iteration   1: 190.069 ns/op
Iteration   2: 191.609 ns/op
Iteration   3: 190.056 ns/op
Iteration   4: 191.814 ns/op
Iteration   5: 190.043 ns/op
Iteration   6: 191.584 ns/op
Iteration   7: 190.159 ns/op
Iteration   8: 190.105 ns/op
Iteration   9: 190.159 ns/op
Iteration  10: 191.618 ns/op

# Run progress: 0.63% complete, ETA 00:39:14
# Fork: 2 of 2
# Warmup Iteration   1: 327.988 ns/op
# Warmup Iteration   2: 280.165 ns/op
# Warmup Iteration   3: 189.931 ns/op
Iteration   1: 188.524 ns/op
Iteration   2: 189.919 ns/op
Iteration   3: 188.345 ns/op
Iteration   4: 190.575 ns/op
Iteration   5: 188.353 ns/op
Iteration   6: 189.941 ns/op
Iteration   7: 188.290 ns/op
Iteration   8: 188.331 ns/op
Iteration   9: 188.392 ns/op
Iteration  10: 189.889 ns/op


Result "edu.sorting.bench.ArraySortBenchmark.sort":
  189.889 ±(99.9%) 1.037 ns/op [Average]
  (min, avg, max) = (188.290, 189.889, 191.814), stdev = 1.194
  CI (99.9%): [188.851, 190.926] (assumes normal distribution)


# JMH version: 1.21
# VM version: JDK 1.8.0_192, Java HotSpot(TM) 64-Bit Server VM, 25.192-b12
# VM invoker: /home/bourgesl/apps/jdk1.8.0/jre/bin/java
# VM options: -Xms1g -Xmx1g -XX:-TieredCompilation -XX:+UnlockDiagnosticVMOptions -XX:GuaranteedSafepointInterval=300000
# Warmup: 3 iterations, 100 ms each
# Measurement: 10 iterations, 50 ms each
# Timeout: 10 min per iteration
# Threads: 1 thread, will synchronize iterations
# Benchmark mode: Average time, time/op
# Benchmark: edu.sorting.bench.ArraySortBenchmark.sort
# Parameters: (arraySize = 50, arraySubSize = 1, dataTweaker = IDENT_____, distBuilder = STAGGER, tSorter = RADIX)

# Run progress: 0.69% complete, ETA 00:39:10
# Fork: 1 of 2
# Warmup Iteration   1: 375.972 ns/op
# Warmup Iteration   2: 359.326 ns/op
# Warmup Iteration   3: 240.330 ns/op
Iteration   1: 244.696 ns/op
Iteration   2: 240.033 ns/op
Iteration   3: 242.808 ns/op
Iteration   4: 265.576 ns/op
Iteration   5: 263.750 ns/op
Iteration   6: 262.297 ns/op
Iteration   7: 263.553 ns/op
Iteration   8: 263.388 ns/op
Iteration   9: 263.826 ns/op
Iteration  10: 262.113 ns/op

# Run progress: 0.76% complete, ETA 00:39:04
# Fork: 2 of 2
# Warmup Iteration   1: 431.365 ns/op
# Warmup Iteration   2: 332.738 ns/op
# Warmup Iteration   3: 240.249 ns/op
Iteration   1: 244.757 ns/op
Iteration   2: 240.030 ns/op
Iteration   3: 242.823 ns/op
Iteration   4: 265.443 ns/op
Iteration   5: 263.885 ns/op
Iteration   6: 262.285 ns/op
Iteration   7: 263.718 ns/op
Iteration   8: 263.430 ns/op
Iteration   9: 263.839 ns/op
Iteration  10: 262.113 ns/op


Result "edu.sorting.bench.ArraySortBenchmark.sort":
  257.218 ±(99.9%) 8.657 ns/op [Average]
  (min, avg, max) = (240.030, 257.218, 265.576), stdev = 9.969
  CI (99.9%): [248.562, 265.875] (assumes normal distribution)


# JMH version: 1.21
# VM version: JDK 1.8.0_192, Java HotSpot(TM) 64-Bit Server VM, 25.192-b12
# VM invoker: /home/bourgesl/apps/jdk1.8.0/jre/bin/java
# VM options: -Xms1g -Xmx1g -XX:-TieredCompilation -XX:+UnlockDiagnosticVMOptions -XX:GuaranteedSafepointInterval=300000
# Warmup: 3 iterations, 100 ms each
# Measurement: 10 iterations, 50 ms each
# Timeout: 10 min per iteration
# Threads: 1 thread, will synchronize iterations
# Benchmark mode: Average time, time/op
# Benchmark: edu.sorting.bench.ArraySortBenchmark.sort
# Parameters: (arraySize = 50, arraySubSize = 1, dataTweaker = IDENT_____, distBuilder = SAWTOTH, tSorter = BASELINE)

# Run progress: 0.83% complete, ETA 00:39:00
# Fork: 1 of 2
# Warmup Iteration   1: 19.425 ns/op
# Warmup Iteration   2: 21.211 ns/op
# Warmup Iteration   3: 15.103 ns/op
Iteration   1: 17.090 ns/op
Iteration   2: 15.273 ns/op
Iteration   3: 17.037 ns/op
Iteration   4: 15.018 ns/op
Iteration   5: 17.108 ns/op
Iteration   6: 15.372 ns/op
Iteration   7: 17.020 ns/op
Iteration   8: 17.020 ns/op
Iteration   9: 17.026 ns/op
Iteration  10: 14.963 ns/op

# Run progress: 0.90% complete, ETA 00:38:56
# Fork: 2 of 2
# Warmup Iteration   1: 19.070 ns/op
# Warmup Iteration   2: 23.555 ns/op
# Warmup Iteration   3: 15.028 ns/op
Iteration   1: 17.079 ns/op
Iteration   2: 15.268 ns/op
Iteration   3: 17.037 ns/op
Iteration   4: 15.025 ns/op
Iteration   5: 17.110 ns/op
Iteration   6: 15.353 ns/op
Iteration   7: 17.060 ns/op
Iteration   8: 17.039 ns/op
Iteration   9: 17.026 ns/op
Iteration  10: 14.970 ns/op


Result "edu.sorting.bench.ArraySortBenchmark.sort":
  16.295 ±(99.9%) 0.834 ns/op [Average]
  (min, avg, max) = (14.963, 16.295, 17.110), stdev = 0.961
  CI (99.9%): [15.460, 17.129] (assumes normal distribution)


# JMH version: 1.21
# VM version: JDK 1.8.0_192, Java HotSpot(TM) 64-Bit Server VM, 25.192-b12
# VM invoker: /home/bourgesl/apps/jdk1.8.0/jre/bin/java
# VM options: -Xms1g -Xmx1g -XX:-TieredCompilation -XX:+UnlockDiagnosticVMOptions -XX:GuaranteedSafepointInterval=300000
# Warmup: 3 iterations, 100 ms each
# Measurement: 10 iterations, 50 ms each
# Timeout: 10 min per iteration
# Threads: 1 thread, will synchronize iterations
# Benchmark mode: Average time, time/op
# Benchmark: edu.sorting.bench.ArraySortBenchmark.sort
# Parameters: (arraySize = 50, arraySubSize = 1, dataTweaker = IDENT_____, distBuilder = SAWTOTH, tSorter = DPQ_11)

# Run progress: 0.97% complete, ETA 00:38:50
# Fork: 1 of 2
# Warmup Iteration   1: 73.201 ns/op
# Warmup Iteration   2: 75.319 ns/op
# Warmup Iteration   3: 50.391 ns/op
Iteration   1: 233.024 ns/op
Iteration   2: 51.264 ns/op
Iteration   3: 51.519 ns/op
Iteration   4: 50.911 ns/op
Iteration   5: 51.648 ns/op
Iteration   6: 50.288 ns/op
Iteration   7: 51.564 ns/op
Iteration   8: 51.520 ns/op
Iteration   9: 51.532 ns/op
Iteration  10: 50.349 ns/op

# Run progress: 1.04% complete, ETA 00:38:53
# Fork: 2 of 2
# Warmup Iteration   1: 79.899 ns/op
# Warmup Iteration   2: 84.237 ns/op
# Warmup Iteration   3: 50.457 ns/op
Iteration   1: 51.503 ns/op
Iteration   2: 51.277 ns/op
Iteration   3: 51.535 ns/op
Iteration   4: 50.851 ns/op
Iteration   5: 51.597 ns/op
Iteration   6: 50.493 ns/op
Iteration   7: 51.467 ns/op
Iteration   8: 51.465 ns/op
Iteration   9: 51.459 ns/op
Iteration  10: 50.154 ns/op


Result "edu.sorting.bench.ArraySortBenchmark.sort":
  60.271 ±(99.9%) 35.312 ns/op [Average]
  (min, avg, max) = (50.154, 60.271, 233.024), stdev = 40.665
  CI (99.9%): [24.959, 95.582] (assumes normal distribution)


# JMH version: 1.21
# VM version: JDK 1.8.0_192, Java HotSpot(TM) 64-Bit Server VM, 25.192-b12
# VM invoker: /home/bourgesl/apps/jdk1.8.0/jre/bin/java
# VM options: -Xms1g -Xmx1g -XX:-TieredCompilation -XX:+UnlockDiagnosticVMOptions -XX:GuaranteedSafepointInterval=300000
# Warmup: 3 iterations, 100 ms each
# Measurement: 10 iterations, 50 ms each
# Timeout: 10 min per iteration
# Threads: 1 thread, will synchronize iterations
# Benchmark mode: Average time, time/op
# Benchmark: edu.sorting.bench.ArraySortBenchmark.sort
# Parameters: (arraySize = 50, arraySubSize = 1, dataTweaker = IDENT_____, distBuilder = SAWTOTH, tSorter = DPQ_18_11_21)

# Run progress: 1.11% complete, ETA 00:38:50
# Fork: 1 of 2
# Warmup Iteration   1: 63.423 ns/op
# Warmup Iteration   2: 74.436 ns/op
# Warmup Iteration   3: 45.951 ns/op
Iteration   1: 44.442 ns/op
Iteration   2: 45.900 ns/op
Iteration   3: 44.409 ns/op
Iteration   4: 46.122 ns/op
Iteration   5: 44.536 ns/op
Iteration   6: 45.876 ns/op
Iteration   7: 44.485 ns/op
Iteration   8: 44.544 ns/op
Iteration   9: 44.407 ns/op
Iteration  10: 45.814 ns/op

# Run progress: 1.18% complete, ETA 00:38:46
# Fork: 2 of 2
# Warmup Iteration   1: 64.316 ns/op
# Warmup Iteration   2: 69.542 ns/op
# Warmup Iteration   3: 45.882 ns/op
Iteration   1: 44.538 ns/op
Iteration   2: 46.111 ns/op
Iteration   3: 44.397 ns/op
Iteration   4: 46.054 ns/op
Iteration   5: 44.473 ns/op
Iteration   6: 45.887 ns/op
Iteration   7: 44.478 ns/op
Iteration   8: 44.462 ns/op
Iteration   9: 44.489 ns/op
Iteration  10: 45.891 ns/op


Result "edu.sorting.bench.ArraySortBenchmark.sort":
  45.066 ±(99.9%) 0.652 ns/op [Average]
  (min, avg, max) = (44.397, 45.066, 46.122), stdev = 0.751
  CI (99.9%): [44.414, 45.718] (assumes normal distribution)


# JMH version: 1.21
# VM version: JDK 1.8.0_192, Java HotSpot(TM) 64-Bit Server VM, 25.192-b12
# VM invoker: /home/bourgesl/apps/jdk1.8.0/jre/bin/java
# VM options: -Xms1g -Xmx1g -XX:-TieredCompilation -XX:+UnlockDiagnosticVMOptions -XX:GuaranteedSafepointInterval=300000
# Warmup: 3 iterations, 100 ms each
# Measurement: 10 iterations, 50 ms each
# Timeout: 10 min per iteration
# Threads: 1 thread, will synchronize iterations
# Benchmark mode: Average time, time/op
# Benchmark: edu.sorting.bench.ArraySortBenchmark.sort
# Parameters: (arraySize = 50, arraySubSize = 1, dataTweaker = IDENT_____, distBuilder = SAWTOTH, tSorter = DPQ_18_11I)

# Run progress: 1.25% complete, ETA 00:38:43
# Fork: 1 of 2
# Warmup Iteration   1: 194.178 ns/op
# Warmup Iteration   2: 82.472 ns/op
# Warmup Iteration   3: 50.462 ns/op
Iteration   1: 49.115 ns/op
Iteration   2: 50.448 ns/op
Iteration   3: 49.104 ns/op
Iteration   4: 54.072 ns/op
Iteration   5: 49.021 ns/op
Iteration   6: 50.401 ns/op
Iteration   7: 49.057 ns/op
Iteration   8: 49.100 ns/op
Iteration   9: 49.104 ns/op
Iteration  10: 50.455 ns/op

# Run progress: 1.32% complete, ETA 00:38:41
# Fork: 2 of 2
# Warmup Iteration   1: 184.709 ns/op
# Warmup Iteration   2: 76.252 ns/op
# Warmup Iteration   3: 50.403 ns/op
Iteration   1: 49.007 ns/op
Iteration   2: 50.392 ns/op
Iteration   3: 49.130 ns/op
Iteration   4: 53.905 ns/op
Iteration   5: 49.078 ns/op
Iteration   6: 50.575 ns/op
Iteration   7: 49.017 ns/op
Iteration   8: 49.014 ns/op
Iteration   9: 49.073 ns/op
Iteration  10: 50.464 ns/op


Result "edu.sorting.bench.ArraySortBenchmark.sort":
  49.977 ±(99.9%) 1.314 ns/op [Average]
  (min, avg, max) = (49.007, 49.977, 54.072), stdev = 1.514
  CI (99.9%): [48.662, 51.291] (assumes normal distribution)


# JMH version: 1.21
# VM version: JDK 1.8.0_192, Java HotSpot(TM) 64-Bit Server VM, 25.192-b12
# VM invoker: /home/bourgesl/apps/jdk1.8.0/jre/bin/java
# VM options: -Xms1g -Xmx1g -XX:-TieredCompilation -XX:+UnlockDiagnosticVMOptions -XX:GuaranteedSafepointInterval=300000
# Warmup: 3 iterations, 100 ms each
# Measurement: 10 iterations, 50 ms each
# Timeout: 10 min per iteration
# Threads: 1 thread, will synchronize iterations
# Benchmark mode: Average time, time/op
# Benchmark: edu.sorting.bench.ArraySortBenchmark.sort
# Parameters: (arraySize = 50, arraySubSize = 1, dataTweaker = IDENT_____, distBuilder = SAWTOTH, tSorter = DPQ_18_11P)

# Run progress: 1.39% complete, ETA 00:38:39
# Fork: 1 of 2
# Warmup Iteration   1: 67.032 ns/op
# Warmup Iteration   2: 81.005 ns/op
# Warmup Iteration   3: 49.277 ns/op
Iteration   1: 47.846 ns/op
Iteration   2: 49.124 ns/op
Iteration   3: 47.936 ns/op
Iteration   4: 49.190 ns/op
Iteration   5: 47.978 ns/op
Iteration   6: 49.194 ns/op
Iteration   7: 47.968 ns/op
Iteration   8: 48.084 ns/op
Iteration   9: 47.905 ns/op
Iteration  10: 49.133 ns/op

# Run progress: 1.46% complete, ETA 00:38:36
# Fork: 2 of 2
# Warmup Iteration   1: 67.856 ns/op
# Warmup Iteration   2: 81.744 ns/op
# Warmup Iteration   3: 49.366 ns/op
Iteration   1: 47.971 ns/op
Iteration   2: 49.210 ns/op
Iteration   3: 48.126 ns/op
Iteration   4: 49.151 ns/op
Iteration   5: 47.870 ns/op
Iteration   6: 49.135 ns/op
Iteration   7: 47.983 ns/op
Iteration   8: 47.962 ns/op
Iteration   9: 47.989 ns/op
Iteration  10: 49.238 ns/op


Result "edu.sorting.bench.ArraySortBenchmark.sort":
  48.450 ±(99.9%) 0.528 ns/op [Average]
  (min, avg, max) = (47.846, 48.450, 49.238), stdev = 0.608
  CI (99.9%): [47.921, 48.978] (assumes normal distribution)


# JMH version: 1.21
# VM version: JDK 1.8.0_192, Java HotSpot(TM) 64-Bit Server VM, 25.192-b12
# VM invoker: /home/bourgesl/apps/jdk1.8.0/jre/bin/java
# VM options: -Xms1g -Xmx1g -XX:-TieredCompilation -XX:+UnlockDiagnosticVMOptions -XX:GuaranteedSafepointInterval=300000
# Warmup: 3 iterations, 100 ms each
# Measurement: 10 iterations, 50 ms each
# Timeout: 10 min per iteration
# Threads: 1 thread, will synchronize iterations
# Benchmark mode: Average time, time/op
# Benchmark: edu.sorting.bench.ArraySortBenchmark.sort
# Parameters: (arraySize = 50, arraySubSize = 1, dataTweaker = IDENT_____, distBuilder = SAWTOTH, tSorter = RADIX)

# Run progress: 1.53% complete, ETA 00:38:32
# Fork: 1 of 2
# Warmup Iteration   1: 176.058 ns/op
# Warmup Iteration   2: 174.014 ns/op
# Warmup Iteration   3: 115.494 ns/op
Iteration   1: 117.677 ns/op
Iteration   2: 116.327 ns/op
Iteration   3: 118.899 ns/op
Iteration   4: 134.376 ns/op
Iteration   5: 136.010 ns/op
Iteration   6: 134.082 ns/op
Iteration   7: 134.979 ns/op
Iteration   8: 135.497 ns/op
Iteration   9: 134.925 ns/op
Iteration  10: 133.247 ns/op

# Run progress: 1.60% complete, ETA 00:38:29
# Fork: 2 of 2
# Warmup Iteration   1: 173.657 ns/op
# Warmup Iteration   2: 173.929 ns/op
# Warmup Iteration   3: 115.666 ns/op
Iteration   1: 117.735 ns/op
Iteration   2: 116.108 ns/op
Iteration   3: 118.743 ns/op
Iteration   4: 134.274 ns/op
Iteration   5: 135.600 ns/op
Iteration   6: 134.364 ns/op
Iteration   7: 135.016 ns/op
Iteration   8: 135.373 ns/op
Iteration   9: 134.810 ns/op
Iteration  10: 133.033 ns/op


Result "edu.sorting.bench.ArraySortBenchmark.sort":
  129.554 ±(99.9%) 7.029 ns/op [Average]
  (min, avg, max) = (116.108, 129.554, 136.010), stdev = 8.095
  CI (99.9%): [122.525, 136.583] (assumes normal distribution)


# JMH version: 1.21
# VM version: JDK 1.8.0_192, Java HotSpot(TM) 64-Bit Server VM, 25.192-b12
# VM invoker: /home/bourgesl/apps/jdk1.8.0/jre/bin/java
# VM options: -Xms1g -Xmx1g -XX:-TieredCompilation -XX:+UnlockDiagnosticVMOptions -XX:GuaranteedSafepointInterval=300000
# Warmup: 3 iterations, 100 ms each
# Measurement: 10 iterations, 50 ms each
# Timeout: 10 min per iteration
# Threads: 1 thread, will synchronize iterations
# Benchmark mode: Average time, time/op
# Benchmark: edu.sorting.bench.ArraySortBenchmark.sort
# Parameters: (arraySize = 50, arraySubSize = 1, dataTweaker = IDENT_____, distBuilder = _RANDOM, tSorter = BASELINE)

# Run progress: 1.67% complete, ETA 00:38:26
# Fork: 1 of 2
# Warmup Iteration   1: 20.190 ns/op
# Warmup Iteration   2: 23.448 ns/op
# Warmup Iteration   3: 15.024 ns/op
Iteration   1: 17.070 ns/op
Iteration   2: 15.272 ns/op
Iteration   3: 17.012 ns/op
Iteration   4: 15.015 ns/op
Iteration   5: 17.124 ns/op
Iteration   6: 15.375 ns/op
Iteration   7: 17.012 ns/op
Iteration   8: 17.025 ns/op
Iteration   9: 17.024 ns/op
Iteration  10: 14.968 ns/op

# Run progress: 1.74% complete, ETA 00:38:23
# Fork: 2 of 2
# Warmup Iteration   1: 19.405 ns/op
# Warmup Iteration   2: 23.236 ns/op
# Warmup Iteration   3: 15.024 ns/op
Iteration   1: 17.073 ns/op
Iteration   2: 15.272 ns/op
Iteration   3: 17.028 ns/op
Iteration   4: 15.021 ns/op
Iteration   5: 17.104 ns/op
Iteration   6: 15.357 ns/op
Iteration   7: 17.027 ns/op
Iteration   8: 17.031 ns/op
Iteration   9: 17.021 ns/op
Iteration  10: 14.972 ns/op


Result "edu.sorting.bench.ArraySortBenchmark.sort":
  16.290 ±(99.9%) 0.830 ns/op [Average]
  (min, avg, max) = (14.968, 16.290, 17.124), stdev = 0.956
  CI (99.9%): [15.460, 17.121] (assumes normal distribution)


# JMH version: 1.21
# VM version: JDK 1.8.0_192, Java HotSpot(TM) 64-Bit Server VM, 25.192-b12
# VM invoker: /home/bourgesl/apps/jdk1.8.0/jre/bin/java
# VM options: -Xms1g -Xmx1g -XX:-TieredCompilation -XX:+UnlockDiagnosticVMOptions -XX:GuaranteedSafepointInterval=300000
# Warmup: 3 iterations, 100 ms each
